Odin,Malekith,,
Malekith,Kurse,,
Odin,Bor Burison,,
Frigga,Loki,,
Odin,Loki,,
Sif,Thor,,
Thor,Odin,,
Richard Madison,Jane Foster,,
Jane Foster,Darcy Lewis,,
Darcy Lewis,Jane Foster,,
Jane Foster,Richard Madison,,
Darcy Lewis,Jane Foster,,
Jane Foster,Erik Selvig,,
Darcy Lewis,Ian Boothby,,
Darcy Lewis,Jane Foster,,
Jane Foster,Darcy Lewis,,
Jane Foster,Maddie,Navid,
Darcy Lewis,Ian Boothby,,
Malekith,Kurse,,
Thor,Heimdall,,
Jane Foster,Darcy Lewis,,
Jane Foster,Thor,,
Odin,Thor,,
Odin,Jane Foster,,
Thor,Loki,,
Loki,Thor,,
Thor,Loki,,
Sif,Loki,,
Jane Foster,Loki,,
Thor,Odin,,
Heimdall,Odin,,
Volstagg,Loki,,
Fandral,Thor,,
Darcy Lewis,Erik Selvig,,
Erik Selvig,Darcy Lewis,,
Erik Selvig,Ian Boothby,,
Thor,Loki,,
Thor,Jane Foster,,
Jane Foster,Richard Madison,,
Jane Foster,Thor,,
Darcy Lewis,Jane Foster,,
Erik Selvig,Thor,,
Erik Selvig,Darcy Lewis,Ian Boothby,Thor
Jane Foster,Erik Selvig,,
Darcy Lewis,Ian Boothby,,
Malekith,Thor,,
Thor,Malekith,,
Jane Foster,Darcy Lewis,,
Jane Foster,Erik Selvig,,
Darcy Lewis,Ian Boothby,,
Thor,Odin,,
Odin,Loki,,
Sif,Volstagg,,
The Collector,Sif,Volstagg,
Thor,Sif,,
Loki,Odin,,
Odin,Loki,,
Thor,Jane Foster,,
Thor,Odin,,
Loki,Frigga,,
Malekith,Frigga,,
Thor,Loki,,
Jane Foster,Loki,,
Sif,Loki,,
Volstagg,Loki,,
Fandral,Loki,,
Thor,Loki,,
Loki,Thor,,
Thor,Loki,,
Malekith,Thor,,
Malekith,Thor,,
Thor,Odin,,
Thor,Loki,,
Sif,Volstagg,,
Sif,The Collector,,
